English,Persian
you,شما
I,من
to,به
and,و
that,که
it,آن
of,از
me,من
what,چه
is,است
in,در
this,این
know,بدانید
I'm,من هستم
for,برای
no,خیر
have,داشته باشند
my,من
don't,نکن
just,فقط
not,نه
do,انجام دادن
be,باش
on,روی
your,شما
was,بود
we,ما
it's,آن است
with,با
so,بنابراین
but,اما
all,همه
well,خب
are,هستند
he,او
oh,اوه
about,درباره
right,درست
you're,تو هستی
get,دریافت
here,اینجا
out,بیرون
going,رفتن
like,مانند
yeah,آره
if,اگر
her,او
she,او
can,می‌تواند
up,بالا
want,می خواهم
think,فکر کردن
now,الان
go,برو
him,او
at,در
how,چگونه
got,گرفتم
there,آنجا
one,یکی
did,انجام داد
why,چرا
see,دیدن
come,بیا
good,خوب
they,آنها
really,واقعاً
as,به عنوان
look,نگاه کن
when,چه زمانی
time,زمان
will,اراده
okay,باشه
back,برگشت
can't,نمی تواند
mean,معنی
tell,بگو
from,از
were,بودند
could,می‌توانست
didn't,نکرد
yes,بله
been,شده
or,یا
something,چیزی
who,چه کسی
because,زیرا
some,برخی
had,داشت
then,سپس
say,بگو
ok,باشه
take,گرفتن
an,یک
way,راه
us,ما
little,کمی
make,ساختن
need,نیاز
never,هرگز
we're,ما هستیم
too,هم
love,عشق
she's,او
I've,من
sure,مطمئن
them,آنها
more,بیشتر
over,بیش از
our,ما
sorry,متاسفم
where,کجا
let,اجازه دادن
thing,چیز
am,هستم
maybe,شاید
down,پایین
man,مرد
has,دارد
very,خیلی
by,توسط
there's,وجود دارد
should,باید
anything,هر چیزی
said,گفت
much,زیاد
any,هر
life,زندگی
even,حتی
off,خاموش
please,لطفا
doing,انجام دادن
thank,تشکر
give,دادن
only,فقط
thought,فکر کرد
help,کمک
two,دو
talk,صحبت کردن
people,مردم
god,خدا
still,هنوز
wait,صبر کن
into,به
find,پیدا کردن
nothing,هیچ چیز
again,دوباره
things,چیزها
let's,بیایید
doesn't,ندارد
call,صدا زدن
told,گفته شد
great,عالی
before,قبل از
better,بهتر
ever,تا کنون
night,شب
than,از
away,دور
first,اول
believe,باور
other,دیگر
feel,احساس
everything,همه چیز
work,کار
fine,خوب
home,خانه
after,بعد از
last,آخرین
these,اینها
day,روز
keep,نگه داشتن
does,انجام می دهد
put,قرار دادن
around,اطراف
stop,متوقف کردن
guy,پسر
long,طولانی
always,همیشه
listen,گوش دادن
wanted,خواسته شده
Mr .,آقای ...
guys,بچه ها
most,بیشترین
used,استفاده شده
worry,نگران شدن
second,دوم
part,بخشی
live,زنده
truth,حقیقت
school,مدرسه
face,صورت
forget,فراموش کردن
business,کسب و کار
each,هر کدام
cause,علت
soon,به زودی
knows,می‌داند
few,تعداد کمی
telling,گفتن
wife,همسر
use,استفاده
chance,شانس
run,دویدن
move,حرکت
anyone,هر کسی
person,شخص
bye,خداحافظ
somebody,کسی
heart,قلب
such,چنین
miss,از دست دادن
married,ازدواج کرده
point,نقطه
later,بعداً
meet,ملاقات
anyway,به هر حال
many,بسیاری
phone,تلفن
reason,دلیل
damn,لعنت
lost,گمشده
looks,به نظر می‌رسد
bring,آوردن
case,مورد
turn,نوبت
wish,آرزو
tomorrow,فردا
kids,بچه‌ها
trust,اعتماد
check,بررسی
change,تغییر
end,پایان
